project_id,skill_id,importance_weight,minimum_proficiency,minimum_experience_years,required_flag
P00558,SK005,0.398,Intermediate,2,1
P00558,SK024,0.016,Intermediate,2,0
P00558,SK027,0.587,Advanced,4,1
P00559,SK013,0.391,Beginner,2,1
P00559,SK015,0.114,Intermediate,2,0
P00559,SK017,0.237,Advanced,4,1
P00559,SK022,0.258,Intermediate,2,1
P00560,SK005,0.101,Intermediate,2,0
P00560,SK024,0.315,Intermediate,3,1
P00560,SK027,0.584,Advanced,5,1
P00561,SK011,0.697,Intermediate,2,1
P00561,SK017,0.022,Intermediate,2,0
P00561,SK024,0.281,Intermediate,2,1
P00562,SK024,0.108,Intermediate,2,0
P00562,SK033,0.517,Advanced,5,1
P00562,SK037,0.376,Intermediate,3,1
P00563,SK011,0.17,Beginner,1,1
P00563,SK013,0.047,Beginner,1,0
P00563,SK014,0.535,Beginner,1,1
P00563,SK017,0.248,Intermediate,2,1
P00564,SK020,0.719,Intermediate,2,1
P00564,SK023,0.209,Intermediate,3,1
P00564,SK024,0.072,Beginner,1,0
P00565,SK021,0.297,Intermediate,2,1
P00565,SK024,0.077,Beginner,1,0
P00565,SK025,0.625,Intermediate,2,1
P00566,SK011,0.045,Intermediate,2,1
P00566,SK024,0.955,Advanced,4,1
P00567,SK011,0.397,Advanced,4,1
P00567,SK017,0.281,Advanced,4,1
P00567,SK024,0.19,Advanced,4,1
P00567,SK027,0.132,Beginner,1,0
P00568,SK010,0.763,Advanced,4,1
P00568,SK013,0.237,Beginner,2,1
P00569,SK011,0.07,Advanced,5,1
P00569,SK022,0.025,Intermediate,2,0
P00569,SK023,0.129,Intermediate,3,1
P00569,SK024,0.776,Intermediate,3,1
P00570,SK017,0.601,Intermediate,3,1
P00570,SK024,0.399,Intermediate,2,1
P00571,SK023,0.374,Advanced,5,1
P00571,SK024,0.626,Advanced,5,1
P00572,SK013,0.289,Advanced,4,1
P00572,SK015,0.571,Intermediate,3,1
P00572,SK020,0.14,Intermediate,2,0
P00573,SK019,0.068,Intermediate,2,0
P00573,SK023,0.142,Advanced,4,1
P00573,SK024,0.156,Advanced,4,1
P00573,SK025,0.634,Intermediate,2,1
P00574,SK005,0.212,Advanced,5,1
P00574,SK027,0.788,Beginner,1,1
P00575,SK001,0.053,Intermediate,2,0
P00575,SK013,0.618,Advanced,4,1
P00575,SK017,0.065,Advanced,4,1
P00575,SK022,0.047,Beginner,1,0
P00575,SK024,0.217,Intermediate,2,1
P00576,SK022,0.334,Advanced,4,1
P00576,SK023,0.493,Intermediate,3,1
P00576,SK026,0.173,Beginner,1,0
P00577,SK006,0.756,Advanced,4,1
P00577,SK008,0.162,Beginner,2,1
P00577,SK037,0.082,Intermediate,2,0
P00578,SK020,0.13,Intermediate,2,0
P00578,SK022,0.286,Intermediate,2,1
P00578,SK024,0.18,Advanced,4,1
P00578,SK026,0.246,Advanced,4,1
P00578,SK036,0.159,Beginner,1,0
P00579,SK004,0.153,Intermediate,3,1
P00579,SK024,0.582,Beginner,1,1
P00579,SK028,0.222,Intermediate,3,1
P00579,SK029,0.044,Intermediate,2,0
P00580,SK019,0.258,Intermediate,2,1
P00580,SK020,0.223,Intermediate,2,1
P00580,SK022,0.183,Intermediate,2,0
P00580,SK023,0.336,Intermediate,3,1
P00581,SK002,0.227,Advanced,4,1
P00581,SK006,0.678,Advanced,4,1
P00581,SK008,0.047,Intermediate,2,0
P00581,SK036,0.048,Intermediate,2,1
P00582,SK021,0.315,Intermediate,2,0
P00582,SK022,0.319,Intermediate,3,1
P00582,SK024,0.366,Intermediate,2,1
P00583,SK024,0.177,Intermediate,2,1
P00583,SK029,0.823,Intermediate,3,1
P00584,SK024,0.169,Beginner,1,1
P00584,SK028,0.722,Beginner,1,1
P00584,SK029,0.108,Intermediate,2,0
P00585,SK001,0.625,Beginner,1,1
P00585,SK002,0.05,Intermediate,2,0
P00585,SK004,0.246,Intermediate,2,1
P00585,SK028,0.079,Advanced,5,1
P00586,SK005,0.858,Intermediate,3,1
P00586,SK024,0.088,Advanced,5,1
P00586,SK027,0.054,Intermediate,2,0
P00587,SK011,0.847,Intermediate,2,1
P00587,SK026,0.153,Advanced,4,1
P00588,SK024,1.0,Intermediate,3,1
P00589,SK014,0.248,Intermediate,2,1
P00589,SK015,0.593,Advanced,4,1
P00589,SK022,0.106,Beginner,2,1
P00589,SK024,0.054,Intermediate,2,0
P00590,SK019,0.224,Advanced,5,1
P00590,SK022,0.622,Intermediate,2,1
P00590,SK025,0.058,Beginner,1,0
P00590,SK026,0.096,Advanced,4,1
P00591,SK008,0.239,Intermediate,3,1
P00591,SK010,0.761,Beginner,1,1
P00592,SK024,0.033,Beginner,1,1
P00592,SK025,0.967,Intermediate,2,1
P00593,SK019,0.053,Intermediate,2,0
P00593,SK020,0.099,Advanced,4,1
P00593,SK026,0.848,Intermediate,3,1
P00594,SK011,0.084,Intermediate,2,1
P00594,SK017,0.057,Advanced,4,0
P00594,SK024,0.587,Advanced,4,1
P00594,SK025,0.272,Intermediate,2,1
P00595,SK001,0.197,Intermediate,2,1
P00595,SK002,0.1,Intermediate,2,0
P00595,SK024,0.246,Intermediate,2,1
P00595,SK028,0.415,Intermediate,2,1
P00595,SK029,0.043,Advanced,4,0
P00596,SK022,0.116,Intermediate,2,0
P00596,SK023,0.622,Advanced,4,1
P00596,SK024,0.262,Intermediate,3,1
P00597,SK004,0.577,Intermediate,2,1
P00597,SK027,0.423,Intermediate,2,1
P00598,SK001,0.128,Intermediate,2,1
P00598,SK002,0.047,Beginner,1,0
P00598,SK004,0.334,Intermediate,3,1
P00598,SK028,0.491,Intermediate,3,1
P00599,SK017,0.677,Intermediate,2,1
P00599,SK024,0.323,Intermediate,3,1
P00600,SK001,0.392,Advanced,5,1
P00600,SK013,0.098,Beginner,1,0
P00600,SK017,0.287,Intermediate,2,1
P00600,SK024,0.223,Intermediate,2,1
P00601,SK002,0.118,Intermediate,2,0
P00601,SK004,0.085,Intermediate,2,0
P00601,SK024,0.134,Beginner,1,1
P00601,SK028,0.532,Advanced,5,1
P00601,SK029,0.131,Advanced,5,1
P00602,SK001,0.377,Advanced,5,1
P00602,SK002,0.116,Intermediate,2,0
P00602,SK004,0.267,Advanced,4,1
P00602,SK024,0.059,Beginner,1,0
P00602,SK029,0.181,Beginner,1,1
P00603,SK024,0.475,Intermediate,3,1
P00603,SK027,0.525,Advanced,4,1
P00604,SK019,0.297,Intermediate,3,1
P00604,SK022,0.004,Beginner,1,0
P00604,SK023,0.271,Advanced,4,1
P00604,SK025,0.252,Advanced,4,1
P00604,SK026,0.176,Intermediate,2,0
P00605,SK011,0.147,Beginner,1,1
P00605,SK025,0.853,Advanced,4,1
P00606,SK011,0.137,Intermediate,2,1
P00606,SK022,0.579,Intermediate,2,1
P00606,SK023,0.051,Beginner,1,0
P00606,SK024,0.031,Intermediate,2,0
P00606,SK025,0.202,Intermediate,2,1
P00607,SK011,0.553,Advanced,4,1
P00607,SK024,0.447,Advanced,5,1
P00608,SK004,0.155,Beginner,1,0
P00608,SK005,0.217,Advanced,4,1
P00608,SK024,0.208,Intermediate,2,1
P00608,SK027,0.42,Advanced,4,1
P00609,SK011,0.264,Intermediate,2,1
P00609,SK023,0.223,Intermediate,2,1
P00609,SK024,0.095,Intermediate,2,0
P00609,SK026,0.417,Advanced,4,1
P00610,SK001,0.095,Advanced,4,0
P00610,SK013,0.226,Advanced,4,1
P00610,SK015,0.118,Beginner,1,0
P00610,SK020,0.215,Intermediate,2,1
P00610,SK024,0.346,Intermediate,2,1
P00611,SK017,0.288,Intermediate,2,1
P00611,SK024,0.205,Intermediate,2,0
P00611,SK027,0.506,Intermediate,2,1
P00612,SK011,0.46,Beginner,1,1
P00612,SK013,0.477,Advanced,4,1
P00612,SK018,0.062,Beginner,1,0
P00613,SK020,0.12,Advanced,4,1
P00613,SK022,0.047,Beginner,1,0
P00613,SK023,0.522,Intermediate,2,1
P00613,SK025,0.312,Intermediate,2,1
P00614,SK001,0.024,Intermediate,2,0
P00614,SK013,0.062,Beginner,1,0
P00614,SK017,0.071,Intermediate,2,1
P00614,SK018,0.158,Intermediate,2,1
P00614,SK023,0.293,Intermediate,2,1
P00614,SK024,0.391,Beginner,2,1
P00615,SK019,0.317,Intermediate,2,1
P00615,SK022,0.071,Advanced,5,1
P00615,SK023,0.554,Advanced,4,1
P00615,SK024,0.058,Beginner,1,0
P00616,SK005,0.732,Intermediate,2,1
P00616,SK027,0.268,Intermediate,2,1
P00617,SK002,0.304,Intermediate,2,1
P00617,SK004,0.623,Advanced,4,1
P00617,SK024,0.073,Advanced,4,0
P00618,SK002,0.073,Intermediate,2,1
P00618,SK004,0.311,Intermediate,2,1
P00618,SK024,0.558,Intermediate,2,1
P00618,SK028,0.057,Intermediate,2,0
P00619,SK011,0.332,Intermediate,2,1
P00619,SK013,0.125,Intermediate,3,1
P00619,SK015,0.03,Beginner,1,0
P00619,SK020,0.512,Intermediate,2,1
P00620,SK002,0.071,Beginner,1,0
P00620,SK004,0.096,Intermediate,2,1
P00620,SK024,0.833,Intermediate,2,1
P00621,SK024,0.165,Intermediate,2,1
P00621,SK025,0.835,Intermediate,3,1
P00622,SK020,0.267,Intermediate,3,1
P00622,SK021,0.071,Beginner,1,0
P00622,SK023,0.581,Advanced,4,1
P00622,SK036,0.082,Intermediate,2,1
P00623,SK004,0.438,Beginner,1,1
P00623,SK005,0.294,Advanced,4,1
P00623,SK027,0.269,Intermediate,2,0
P00624,SK001,0.216,Intermediate,2,1
P00624,SK013,0.483,Intermediate,2,1
P00624,SK014,0.202,Advanced,5,1
P00624,SK017,0.012,Intermediate,2,0
P00624,SK023,0.088,Beginner,1,0
P00625,SK002,0.479,Advanced,4,1
P00625,SK029,0.521,Intermediate,2,1
P00626,SK019,0.129,Intermediate,2,1
P00626,SK020,0.055,Intermediate,2,0
P00626,SK021,0.271,Intermediate,2,1
P00626,SK023,0.069,Beginner,1,0
P00626,SK024,0.149,Intermediate,3,1
P00626,SK026,0.327,Intermediate,2,1
P00627,SK011,0.174,Intermediate,2,1
P00627,SK013,0.028,Intermediate,2,0
P00627,SK014,0.071,Intermediate,3,1
P00627,SK016,0.186,Intermediate,2,1
P00627,SK018,0.024,Advanced,4,0
P00627,SK024,0.518,Intermediate,3,1
P00628,SK017,0.196,Intermediate,3,1
P00628,SK024,0.663,Intermediate,2,1
P00628,SK027,0.141,Beginner,1,0
P00629,SK002,0.255,Intermediate,2,1
P00629,SK004,0.287,Intermediate,2,1
P00629,SK007,0.069,Beginner,1,0
P00629,SK010,0.389,Intermediate,3,1
P00630,SK011,0.093,Beginner,1,0
P00630,SK022,0.183,Intermediate,2,1
P00630,SK023,0.15,Intermediate,2,0
P00630,SK024,0.153,Intermediate,3,1
P00630,SK026,0.421,Intermediate,2,1
P00631,SK024,0.179,Advanced,4,1
P00631,SK025,0.821,Intermediate,2,1
P00632,SK004,0.032,Beginner,1,0
P00632,SK005,0.243,Advanced,4,1
P00632,SK024,0.5,Advanced,4,1
P00632,SK027,0.225,Intermediate,2,1
P00633,SK001,0.178,Intermediate,2,1
P00633,SK011,0.039,Intermediate,2,0
P00633,SK013,0.25,Advanced,4,1
P00633,SK014,0.177,Intermediate,3,1
P00633,SK017,0.237,Intermediate,3,1
P00633,SK023,0.119,Intermediate,2,0
P00634,SK011,0.048,Intermediate,2,0
P00634,SK013,0.858,Beginner,2,1
P00634,SK024,0.094,Advanced,4,1
P00635,SK014,0.451,Beginner,2,1
P00635,SK015,0.033,Beginner,1,0
P00635,SK022,0.138,Intermediate,2,1
P00635,SK024,0.377,Beginner,1,1
P00636,SK002,0.093,Intermediate,2,0
P00636,SK024,0.333,Intermediate,3,1
P00636,SK029,0.574,Advanced,4,1
P00637,SK022,0.26,Intermediate,2,1
P00637,SK023,0.16,Intermediate,2,1
P00637,SK024,0.551,Intermediate,2,1
P00637,SK026,0.03,Intermediate,2,0
P00638,SK024,0.161,Beginner,1,1
P00638,SK025,0.153,Beginner,1,0
P00638,SK026,0.685,Intermediate,2,1
P00639,SK011,0.105,Intermediate,2,0
P00639,SK017,0.142,Advanced,5,1
P00639,SK024,0.345,Advanced,4,1
P00639,SK027,0.408,Intermediate,2,1
P00640,SK004,0.54,Intermediate,2,1
P00640,SK024,0.097,Beginner,1,0
P00640,SK027,0.363,Beginner,1,1
P00641,SK022,0.041,Beginner,1,0
P00641,SK023,0.483,Advanced,4,1
P00641,SK024,0.476,Advanced,4,1
P00642,SK004,1.0,Intermediate,2,1
P00643,SK001,0.283,Advanced,5,1
P00643,SK022,0.717,Advanced,5,1
P00644,SK004,0.36,Advanced,4,1
P00644,SK005,0.098,Beginner,1,0
P00644,SK024,0.542,Advanced,4,1
P00645,SK005,0.154,Advanced,4,1
P00645,SK007,0.467,Intermediate,2,1
P00645,SK033,0.246,Advanced,5,1
P00645,SK037,0.133,Intermediate,2,0
P00646,SK024,0.052,Beginner,2,1
P00646,SK025,0.948,Beginner,1,1
P00647,SK001,0.279,Intermediate,2,1
P00647,SK014,0.028,Intermediate,2,0
P00647,SK016,0.35,Intermediate,3,1
P00647,SK017,0.212,Intermediate,3,1
P00647,SK018,0.097,Intermediate,2,1
P00647,SK022,0.034,Intermediate,2,0
P00648,SK011,0.127,Beginner,1,1
P00648,SK017,0.066,Advanced,4,0
P00648,SK024,0.124,Advanced,4,1
P00648,SK025,0.683,Advanced,4,1
P00649,SK001,0.06,Intermediate,2,0
P00649,SK013,0.154,Intermediate,2,1
P00649,SK014,0.178,Intermediate,2,1
P00649,SK015,0.195,Intermediate,2,1
P00649,SK017,0.011,Beginner,1,0
P00649,SK018,0.403,Intermediate,3,1
P00650,SK022,0.68,Intermediate,3,1
P00650,SK023,0.011,Intermediate,2,0
P00650,SK024,0.227,Intermediate,3,1
P00650,SK025,0.082,Advanced,4,1
P00651,SK002,0.71,Intermediate,2,1
P00651,SK004,0.183,Beginner,1,1
P00651,SK024,0.107,Intermediate,2,0
P00652,SK001,0.32,Advanced,5,1
P00652,SK024,0.68,Intermediate,2,1
P00653,SK037,1.0,Advanced,5,1
P00654,SK017,0.04,Advanced,4,0
P00654,SK024,0.896,Intermediate,2,1
P00654,SK025,0.064,Advanced,5,1
P00655,SK023,0.096,Intermediate,2,0
P00655,SK024,0.135,Intermediate,2,1
P00655,SK025,0.37,Intermediate,2,1
P00655,SK026,0.399,Intermediate,2,1
P00656,SK020,0.03,Beginner,1,0
P00656,SK021,0.237,Intermediate,2,1
P00656,SK024,0.238,Advanced,5,1
P00656,SK036,0.495,Intermediate,3,1
P00657,SK011,0.278,Intermediate,3,1
P00657,SK017,0.382,Advanced,4,1
P00657,SK024,0.131,Beginner,1,0
P00657,SK027,0.209,Intermediate,2,1
P00658,SK013,0.23,Intermediate,2,1
P00658,SK017,0.092,Intermediate,2,0
P00658,SK018,0.259,Advanced,4,1
P00658,SK022,0.025,Intermediate,2,0
P00658,SK024,0.394,Beginner,1,1
P00659,SK024,0.16,Advanced,4,0
P00659,SK025,0.32,Intermediate,2,1
P00659,SK026,0.52,Intermediate,2,1
P00660,SK004,0.224,Advanced,4,0
P00660,SK024,0.27,Advanced,4,1
P00660,SK029,0.506,Advanced,4,1
P00661,SK011,0.918,Intermediate,2,1
P00661,SK017,0.082,Intermediate,2,1
P00662,SK019,0.687,Intermediate,3,1
P00662,SK026,0.313,Intermediate,2,1
P00663,SK011,0.108,Beginner,1,1
P00663,SK022,0.696,Beginner,1,1
P00663,SK023,0.098,Beginner,1,1
P00663,SK024,0.01,Intermediate,2,0
P00663,SK025,0.089,Beginner,1,0
P00664,SK011,0.371,Intermediate,3,1
P00664,SK017,0.103,Intermediate,2,0
P00664,SK024,0.526,Advanced,4,1
P00665,SK001,0.534,Intermediate,2,1
P00665,SK016,0.027,Intermediate,2,0
P00665,SK020,0.059,Intermediate,3,1
P00665,SK024,0.38,Intermediate,2,1
P00666,SK024,0.538,Beginner,1,1
P00666,SK027,0.462,Intermediate,2,1
P00667,SK019,0.059,Intermediate,2,0
P00667,SK023,0.393,Intermediate,2,1
P00667,SK024,0.276,Advanced,4,1
P00667,SK026,0.272,Advanced,4,1
P00668,SK001,0.57,Intermediate,2,1
P00668,SK011,0.355,Intermediate,2,1
P00668,SK013,0.076,Beginner,1,0
P00669,SK011,0.114,Intermediate,3,1
P00669,SK013,0.009,Intermediate,2,0
P00669,SK014,0.359,Advanced,4,1
P00669,SK015,0.202,Advanced,4,1
P00669,SK017,0.042,Advanced,4,1
P00669,SK022,0.013,Intermediate,2,0
P00669,SK024,0.261,Intermediate,2,1
P00670,SK001,0.74,Intermediate,3,1
P00670,SK007,0.215,Intermediate,3,1
P00670,SK008,0.045,Beginner,1,0
P00671,SK005,0.152,Beginner,2,1
P00671,SK024,0.848,Intermediate,2,1
P00672,SK001,0.231,Intermediate,2,1
P00672,SK013,0.008,Intermediate,2,0
P00672,SK014,0.131,Intermediate,2,1
P00672,SK017,0.064,Advanced,4,1
P00672,SK018,0.061,Intermediate,2,0
P00672,SK023,0.246,Intermediate,3,1
P00672,SK024,0.258,Intermediate,2,1
P00673,SK021,0.514,Advanced,4,1
P00673,SK022,0.133,Advanced,4,0
P00673,SK026,0.353,Advanced,4,1
P00674,SK020,0.091,Advanced,5,1
P00674,SK023,0.909,Intermediate,2,1
P00675,SK011,0.275,Beginner,1,0
P00675,SK017,0.443,Beginner,1,1
P00675,SK024,0.282,Intermediate,2,1
P00676,SK019,0.341,Beginner,2,1
P00676,SK020,0.496,Intermediate,2,1
P00676,SK023,0.1,Advanced,5,1
P00676,SK026,0.064,Beginner,1,0
P00677,SK011,0.277,Beginner,1,1
P00677,SK023,0.038,Beginner,1,0
P00677,SK024,0.423,Beginner,1,1
P00677,SK025,0.106,Intermediate,2,0
P00677,SK026,0.155,Advanced,4,1
P00678,SK004,0.209,Intermediate,3,1
P00678,SK024,0.024,Beginner,1,0
P00678,SK028,0.35,Intermediate,2,1
P00678,SK029,0.417,Advanced,5,1
P00679,SK019,0.066,Beginner,1,0
P00679,SK020,0.109,Advanced,5,1
P00679,SK022,0.194,Advanced,4,1
P00679,SK024,0.084,Beginner,1,0
P00679,SK025,0.217,Advanced,4,1
P00679,SK026,0.329,Advanced,4,1
P00680,SK009,0.028,Beginner,1,0
P00680,SK024,0.279,Advanced,4,1
P00680,SK034,0.693,Beginner,1,1
P00681,SK002,0.231,Advanced,4,1
P00681,SK024,0.769,Advanced,4,1
P00682,SK025,0.617,Intermediate,3,1
P00682,SK026,0.383,Beginner,1,1
P00683,SK011,0.561,Intermediate,2,1
P00683,SK013,0.094,Beginner,1,0
P00683,SK014,0.345,Advanced,4,1
P00684,SK011,0.377,Intermediate,2,1
P00684,SK017,0.403,Beginner,1,1
P00684,SK024,0.031,Advanced,4,0
P00684,SK027,0.188,Intermediate,3,1
P00685,SK027,1.0,Intermediate,2,1
P00686,SK011,0.202,Intermediate,3,1
P00686,SK022,0.039,Beginner,1,0
P00686,SK023,0.015,Beginner,1,0
P00686,SK024,0.18,Advanced,4,1
P00686,SK025,0.115,Advanced,4,1
P00686,SK026,0.45,Intermediate,2,1
P00687,SK020,0.068,Advanced,4,0
P00687,SK023,0.127,Beginner,1,0
P00687,SK024,0.316,Intermediate,2,1
P00687,SK025,0.194,Beginner,1,1
P00687,SK026,0.295,Intermediate,2,1
P00688,SK019,0.39,Intermediate,2,1
P00688,SK021,0.031,Intermediate,2,0
P00688,SK023,0.115,Advanced,4,0
P00688,SK025,0.319,Beginner,1,1
P00688,SK036,0.146,Intermediate,2,1
P00689,SK019,0.101,Intermediate,3,1
P00689,SK022,0.285,Advanced,5,1
P00689,SK025,0.08,Beginner,1,0
P00689,SK026,0.535,Intermediate,3,1
P00690,SK021,0.184,Intermediate,2,1
P00690,SK022,0.143,Beginner,1,0
P00690,SK024,0.482,Advanced,4,1
P00690,SK025,0.191,Intermediate,2,1
P00691,SK019,1.0,Intermediate,2,1
P00692,SK017,0.273,Advanced,4,1
P00692,SK024,0.719,Intermediate,2,1
P00692,SK025,0.008,Intermediate,2,0
P00693,SK011,0.419,Advanced,4,1
P00693,SK024,0.004,Beginner,1,0
P00693,SK027,0.577,Advanced,5,1
P00694,SK011,0.02,Intermediate,2,0
P00694,SK017,0.295,Advanced,4,1
P00694,SK024,0.352,Beginner,1,1
P00694,SK027,0.333,Advanced,4,1
P00695,SK002,0.248,Intermediate,2,1
P00695,SK013,0.188,Beginner,1,0
P00695,SK024,0.336,Intermediate,2,1
P00695,SK034,0.228,Beginner,1,1
P00696,SK001,0.32,Intermediate,2,1
P00696,SK002,0.316,Beginner,1,1
P00696,SK004,0.108,Intermediate,2,0
P00696,SK028,0.255,Intermediate,2,1
P00697,SK011,0.211,Intermediate,2,0
P00697,SK024,0.372,Intermediate,2,1
P00697,SK025,0.417,Intermediate,2,1
P00698,SK001,0.195,Advanced,4,1
P00698,SK011,0.358,Intermediate,2,1
P00698,SK013,0.156,Beginner,1,0
P00698,SK018,0.291,Intermediate,2,1
P00699,SK011,0.106,Intermediate,3,1
P00699,SK014,0.682,Advanced,5,1
P00699,SK018,0.025,Intermediate,2,0
P00699,SK023,0.059,Beginner,1,0
P00699,SK024,0.128,Advanced,4,1
P00700,SK017,0.798,Advanced,4,1
P00700,SK024,0.202,Beginner,2,1
P00701,SK029,1.0,Intermediate,2,1
P00702,SK013,0.034,Beginner,1,0
P00702,SK014,0.32,Intermediate,3,1
P00702,SK016,0.151,Advanced,5,1
P00702,SK017,0.12,Intermediate,2,0
P00702,SK024,0.375,Beginner,1,1
P00703,SK013,0.48,Beginner,1,1
P00703,SK014,0.271,Beginner,1,1
P00703,SK023,0.116,Intermediate,2,0
P00703,SK024,0.134,Advanced,4,1
P00704,SK017,0.594,Beginner,2,1
P00704,SK024,0.406,Intermediate,3,1
P00705,SK013,0.091,Intermediate,3,1
P00705,SK024,0.909,Advanced,5,1
P00706,SK013,0.263,Advanced,4,1
P00706,SK024,0.737,Intermediate,2,1
P00707,SK011,0.267,Beginner,1,1
P00707,SK013,0.296,Intermediate,2,1
P00707,SK014,0.089,Beginner,1,0
P00707,SK023,0.347,Intermediate,2,1
P00708,SK001,0.233,Beginner,1,1
P00708,SK002,0.315,Advanced,4,1
P00708,SK004,0.048,Intermediate,2,0
P00708,SK029,0.404,Intermediate,3,1
P00709,SK001,0.05,Intermediate,2,0
P00709,SK024,0.283,Intermediate,2,1
P00709,SK028,0.171,Advanced,4,1
P00709,SK029,0.496,Advanced,5,1
P00710,SK011,0.443,Beginner,1,1
P00710,SK024,0.557,Intermediate,2,1
P00711,SK005,0.303,Advanced,5,1
P00711,SK010,0.096,Intermediate,2,1
P00711,SK024,0.047,Beginner,1,0
P00711,SK033,0.087,Intermediate,2,0
P00711,SK034,0.193,Advanced,4,1
P00711,SK036,0.273,Intermediate,2,1
P00712,SK013,0.398,Beginner,1,1
P00712,SK014,0.226,Intermediate,3,1
P00712,SK017,0.027,Intermediate,2,0
P00712,SK018,0.142,Intermediate,2,0
P00712,SK020,0.207,Beginner,1,1
P00713,SK007,0.2,Intermediate,2,1
P00713,SK009,0.239,Advanced,5,1
P00713,SK010,0.022,Beginner,1,0
P00713,SK034,0.539,Intermediate,3,1
P00714,SK019,0.084,Intermediate,2,0
P00714,SK021,0.214,Advanced,4,1
P00714,SK023,0.171,Beginner,1,0
P00714,SK024,0.306,Intermediate,2,1
P00714,SK025,0.225,Intermediate,2,1
P00715,SK019,0.773,Intermediate,3,1
P00715,SK021,0.046,Intermediate,2,0
P00715,SK022,0.182,Intermediate,2,1
P00716,SK004,0.065,Intermediate,2,0
P00716,SK024,0.748,Intermediate,2,1
P00716,SK027,0.188,Intermediate,2,1
P00717,SK004,0.412,Intermediate,2,1
P00717,SK005,0.314,Advanced,5,1
P00717,SK027,0.274,Beginner,1,0
P00718,SK017,0.536,Advanced,4,1
P00718,SK024,0.025,Beginner,1,0
P00718,SK025,0.439,Intermediate,2,1
P00719,SK019,0.092,Beginner,1,0
P00719,SK022,0.163,Advanced,4,1
P00719,SK023,0.34,Advanced,4,1
P00719,SK024,0.344,Advanced,4,1
P00719,SK026,0.062,Intermediate,2,0
P00720,SK001,0.33,Intermediate,2,1
P00720,SK013,0.294,Advanced,4,1
P00720,SK015,0.148,Advanced,4,0
P00720,SK018,0.207,Beginner,1,1
P00720,SK020,0.021,Intermediate,2,0
P00721,SK022,0.282,Advanced,4,1
P00721,SK023,0.232,Beginner,1,0
P00721,SK024,0.247,Intermediate,2,1
P00721,SK026,0.239,Beginner,2,1
P00722,SK001,0.367,Intermediate,2,1
P00722,SK013,0.319,Advanced,4,1
P00722,SK014,0.204,Intermediate,2,1
P00722,SK017,0.11,Intermediate,2,0
P00723,SK004,0.172,Advanced,4,0
P00723,SK024,0.458,Intermediate,2,1
P00723,SK027,0.37,Advanced,4,1
P00724,SK021,0.689,Intermediate,2,1
P00724,SK025,0.311,Intermediate,2,1
P00725,SK011,0.375,Intermediate,2,1
P00725,SK017,0.625,Advanced,4,1
P00726,SK024,0.689,Intermediate,2,1
P00726,SK025,0.311,Intermediate,2,1
P00727,SK001,0.532,Intermediate,2,1
P00727,SK014,0.333,Advanced,4,1
P00727,SK023,0.135,Beginner,1,0
P00728,SK019,0.098,Intermediate,2,1
P00728,SK020,0.617,Advanced,4,1
P00728,SK021,0.037,Intermediate,2,0
P00728,SK024,0.045,Intermediate,2,0
P00728,SK036,0.203,Beginner,2,1
P00729,SK011,0.354,Advanced,4,1
P00729,SK023,0.116,Advanced,4,1
P00729,SK024,0.042,Beginner,1,0
P00729,SK026,0.487,Advanced,4,1
P00730,SK001,0.688,Intermediate,2,1
P00730,SK011,0.255,Beginner,1,1
P00730,SK024,0.057,Intermediate,2,0
P00731,SK019,0.284,Beginner,2,1
P00731,SK022,0.418,Advanced,4,1
P00731,SK023,0.029,Intermediate,2,0
P00731,SK025,0.241,Beginner,2,1
P00731,SK026,0.027,Intermediate,2,0
P00732,SK017,0.638,Beginner,1,1
P00732,SK024,0.17,Beginner,1,0
P00732,SK027,0.191,Intermediate,2,1
P00733,SK022,0.18,Intermediate,3,1
P00733,SK023,0.099,Advanced,4,0
P00733,SK024,0.198,Advanced,4,1
P00733,SK025,0.35,Advanced,5,1
P00733,SK026,0.173,Beginner,1,0
P00734,SK011,0.296,Advanced,4,1
P00734,SK013,0.43,Advanced,5,1
P00734,SK018,0.073,Intermediate,2,1
P00734,SK020,0.043,Beginner,1,0
P00734,SK022,0.011,Intermediate,2,0
P00734,SK024,0.147,Advanced,5,1
P00735,SK020,0.293,Intermediate,2,1
P00735,SK025,0.707,Advanced,4,1
P00736,SK004,0.442,Intermediate,2,1
P00736,SK037,0.558,Advanced,4,1
P00737,SK011,0.64,Intermediate,3,1
P00737,SK017,0.109,Intermediate,3,1
P00737,SK024,0.086,Beginner,1,0
P00737,SK027,0.165,Intermediate,2,1
P00738,SK023,0.246,Intermediate,2,1
P00738,SK024,0.041,Intermediate,2,0
P00738,SK025,0.497,Advanced,4,1
P00738,SK026,0.216,Intermediate,2,1
P00739,SK021,0.014,Beginner,1,0
P00739,SK023,0.595,Intermediate,2,1
P00739,SK024,0.266,Intermediate,2,1
P00739,SK026,0.126,Advanced,5,1
P00740,SK017,0.878,Intermediate,3,1
P00740,SK027,0.122,Advanced,5,1
P00741,SK001,0.107,Advanced,4,1
P00741,SK002,0.893,Intermediate,2,1
P00742,SK022,0.283,Advanced,5,1
P00742,SK023,0.176,Intermediate,2,1
P00742,SK024,0.048,Beginner,1,0
P00742,SK025,0.104,Beginner,1,0
P00742,SK026,0.389,Advanced,4,1
P00743,SK001,0.318,Intermediate,2,1
P00743,SK011,0.068,Beginner,1,0
P00743,SK013,0.124,Intermediate,2,0
