employee_id,available_from,available_to,allocation_percent,availability_status
E00574,2025-10-14,2026-01-03,20,Available
E00575,2026-01-07,2026-03-22,60,Available
E00576,2026-04-06,2026-05-13,90,Partially Available
E00577,2026-04-16,2026-04-24,100,Fully Allocated
E00578,2025-05-19,2025-06-20,80,Partially Available
E00579,2025-02-18,2025-04-03,60,Available
E00580,2026-04-12,2026-05-29,40,Available
E00581,2025-10-26,2025-11-22,80,Partially Available
E00582,2026-04-01,2026-06-07,40,Available
E00583,2026-04-01,2026-05-08,20,Available
E00584,2026-04-01,2026-05-01,80,Partially Available
E00585,2024-03-31,2024-05-04,70,Partially Available
E00586,2024-11-06,2025-02-03,10,Available
E00587,2026-04-01,2026-05-11,80,Partially Available
E00588,2024-01-28,2024-04-01,30,Available
E00589,2025-03-19,2025-04-11,100,Fully Allocated
E00590,2026-04-01,2026-05-26,60,Available
E00591,2025-11-15,2026-01-01,10,Available
E00592,2024-06-25,2024-07-13,100,Fully Allocated
E00593,2026-04-29,2026-06-04,60,Available
E00594,2025-03-03,2025-03-29,80,Partially Available
E00595,2026-04-06,2026-04-23,90,Partially Available
E00596,2026-04-01,2026-05-12,60,Available
E00597,2024-05-16,2024-08-10,10,Available
E00598,2026-03-15,2026-05-30,20,Available
E00599,2026-02-22,2026-03-25,80,Partially Available
E00600,2026-03-13,2026-05-25,20,Available
E00601,2026-01-31,2026-02-23,90,Partially Available
E00602,2026-04-01,2026-06-23,30,Available
E00603,2026-04-01,2026-05-01,10,Available
E00604,2026-03-13,2026-05-06,60,Available
E00605,2026-03-20,2026-05-04,50,Available
E00606,2026-04-01,2026-05-10,70,Partially Available
E00607,2026-02-01,2026-04-29,50,Available
E00608,2025-01-05,2025-02-03,70,Partially Available
E00609,2024-06-11,2024-07-21,10,Available
E00610,2026-03-18,2026-04-06,90,Partially Available
E00611,2025-03-21,2025-05-28,20,Available
E00612,2026-04-01,2026-05-03,10,Available
E00613,2026-04-01,2026-06-14,20,Available
E00614,2023-11-02,2024-01-26,40,Available
E00615,2026-03-29,2026-04-25,80,Partially Available
E00616,2024-11-07,2025-01-26,50,Available
E00617,2026-04-01,2026-06-11,50,Available
E00618,2024-08-02,2024-10-09,10,Available
E00619,2026-03-18,2026-04-21,90,Partially Available
E00620,2026-02-16,2026-05-09,60,Available
E00621,2025-06-25,2025-08-16,30,Available
E00622,2026-03-25,2026-05-08,50,Available
E00623,2026-05-01,2026-06-17,30,Available
E00624,2026-01-04,2026-03-26,50,Available
E00625,2026-04-06,2026-04-27,90,Partially Available
E00626,2026-02-17,2026-03-06,80,Partially Available
E00627,2026-02-25,2026-04-24,20,Available
E00628,2025-07-08,2025-08-26,60,Available
E00629,2026-02-02,2026-04-14,10,Available
E00630,2026-04-01,2026-05-15,30,Available
E00631,2025-12-02,2025-12-28,70,Partially Available
E00632,2025-10-29,2025-11-28,80,Partially Available
E00633,2024-06-28,2024-09-21,10,Available
E00634,2026-03-27,2026-06-15,10,Available
E00635,2025-02-12,2025-03-25,50,Available
E00636,2025-01-15,2025-03-10,60,Available
E00637,2026-04-01,2026-06-22,20,Available
E00638,2026-04-01,2026-06-03,40,Available
E00639,2026-03-31,2026-05-07,50,Available
E00640,2026-04-15,2026-05-04,100,Fully Allocated
E00641,2026-02-25,2026-03-04,100,Fully Allocated
E00642,2025-12-30,2026-02-22,20,Available
E00643,2026-04-01,2026-04-17,70,Partially Available
E00644,2026-03-18,2026-04-30,40,Available
E00645,2023-11-07,2024-01-11,50,Available
E00646,2024-11-28,2025-01-02,10,Available
E00647,2026-02-14,2026-04-29,60,Available
E00648,2024-06-08,2024-07-16,20,Available
E00649,2026-04-11,2026-05-11,80,Partially Available
E00650,2025-03-02,2025-03-17,90,Partially Available
E00651,2026-02-22,2026-03-17,70,Partially Available
E00652,2024-03-01,2024-04-23,60,Available
E00653,2026-02-10,2026-02-23,100,Fully Allocated
E00654,2026-05-06,2026-06-22,40,Available
E00655,2026-04-01,2026-06-17,10,Available
E00656,2026-04-01,2026-04-22,80,Partially Available
E00657,2026-04-01,2026-05-18,20,Available
E00658,2026-04-01,2026-04-24,70,Partially Available
E00659,2026-04-03,2026-05-30,60,Available
E00660,2024-03-24,2024-06-13,20,Available
E00661,2026-04-01,2026-05-02,10,Available
E00662,2025-12-08,2026-02-12,20,Available
E00663,2026-04-01,2026-04-24,70,Partially Available
E00664,2025-02-27,2025-03-17,70,Partially Available
E00665,2026-02-26,2026-03-28,90,Partially Available
E00666,2026-04-01,2026-06-22,30,Available
E00667,2026-04-01,2026-05-24,10,Available
E00668,2024-05-08,2024-07-11,10,Available
E00669,2025-12-20,2026-01-09,90,Partially Available
E00670,2026-01-14,2026-03-01,10,Available
E00671,2025-05-21,2025-06-15,100,Fully Allocated
E00672,2025-10-08,2025-10-30,70,Partially Available
E00673,2026-04-01,2026-04-25,70,Partially Available
E00674,2026-04-01,2026-05-10,50,Available
E00675,2026-03-30,2026-05-14,60,Available
E00676,2026-03-16,2026-05-22,10,Available
E00677,2026-04-16,2026-05-12,100,Fully Allocated
E00678,2026-04-01,2026-05-13,80,Partially Available
E00679,2026-04-10,2026-05-02,90,Partially Available
E00680,2025-07-30,2025-10-02,30,Available
E00681,2026-04-01,2026-04-17,70,Partially Available
E00682,2024-04-24,2024-06-02,10,Available
E00683,2026-03-08,2026-03-30,90,Partially Available
E00684,2026-04-16,2026-05-04,100,Fully Allocated
E00685,2026-04-01,2026-06-21,50,Available
E00686,2026-04-01,2026-05-12,10,Available
E00687,2026-04-01,2026-06-10,10,Available
E00688,2026-01-25,2026-03-07,70,Partially Available
E00689,2026-04-01,2026-05-19,40,Available
E00690,2026-04-01,2026-05-10,80,Partially Available
E00691,2026-04-16,2026-05-14,100,Fully Allocated
E00692,2026-04-01,2026-05-15,30,Available
E00693,2026-04-01,2026-04-21,100,Fully Allocated
E00694,2026-04-01,2026-06-06,20,Available
E00695,2024-11-04,2024-12-17,80,Partially Available
E00696,2025-01-12,2025-02-28,60,Available
E00697,2026-04-16,2026-05-04,100,Fully Allocated
E00698,2024-08-07,2024-09-17,70,Partially Available
E00699,2025-12-03,2025-12-23,80,Partially Available
E00700,2026-04-01,2026-05-20,60,Available
E00701,2023-07-11,2023-08-30,50,Available
E00702,2025-07-31,2025-09-27,40,Available
E00703,2026-04-01,2026-06-12,50,Available
E00704,2024-08-19,2024-09-17,70,Partially Available
E00705,2025-03-21,2025-05-11,10,Available
E00706,2026-04-01,2026-05-08,80,Partially Available
E00707,2026-04-16,2026-04-26,100,Fully Allocated
E00708,2025-09-16,2025-12-13,40,Available
E00709,2024-12-18,2025-02-09,40,Available
E00710,2026-03-15,2026-04-04,100,Fully Allocated
E00711,2025-09-12,2025-10-01,70,Partially Available
E00712,2025-08-01,2025-09-07,70,Partially Available
E00713,2025-07-21,2025-10-12,30,Available
E00714,2026-01-31,2026-03-13,90,Partially Available
E00715,2026-04-01,2026-06-28,60,Available
E00716,2025-02-20,2025-03-27,80,Partially Available
E00717,2026-04-06,2026-05-13,90,Partially Available
E00718,2026-04-01,2026-06-12,20,Available
E00719,2025-05-16,2025-08-05,10,Available
E00720,2026-04-06,2026-04-27,90,Partially Available
E00721,2026-04-01,2026-05-13,10,Available
E00722,2026-04-01,2026-05-19,50,Available
E00723,2024-07-25,2024-10-18,20,Available
E00724,2025-04-23,2025-06-17,40,Available
E00725,2026-02-26,2026-03-16,90,Partially Available
E00726,2024-04-06,2024-05-02,100,Fully Allocated
E00727,2025-05-08,2025-06-03,90,Partially Available
E00728,2026-04-01,2026-06-15,50,Available
E00729,2026-03-17,2026-05-18,10,Available
E00730,2026-04-01,2026-06-09,30,Available
E00731,2026-04-01,2026-05-01,70,Partially Available
E00732,2025-10-01,2025-11-05,90,Partially Available
E00733,2026-02-21,2026-05-18,60,Available
E00734,2026-04-06,2026-05-09,90,Partially Available
E00735,2026-04-01,2026-04-20,70,Partially Available
E00736,2025-05-02,2025-06-14,20,Available
E00737,2026-04-01,2026-06-13,20,Available
E00738,2026-04-06,2026-05-02,90,Partially Available
E00739,2023-07-13,2023-09-10,40,Available
E00740,2026-04-01,2026-05-31,10,Available
E00741,2025-02-04,2025-03-25,50,Available
E00742,2026-04-06,2026-05-02,90,Partially Available
E00743,2025-02-11,2025-04-24,40,Available
E00744,2026-04-01,2026-06-16,10,Available
E00745,2025-12-06,2026-01-11,50,Available
E00746,2026-04-01,2026-04-25,80,Partially Available
E00747,2026-04-01,2026-06-06,20,Available
E00748,2025-05-13,2025-07-28,40,Available
E00749,2026-04-01,2026-04-17,80,Partially Available
E00750,2026-02-21,2026-04-13,50,Available
E00751,2025-07-31,2025-09-11,50,Available
E00752,2026-04-06,2026-05-04,90,Partially Available
E00753,2026-04-01,2026-06-21,50,Available
E00754,2026-04-01,2026-06-07,30,Available
E00755,2026-04-01,2026-05-31,40,Available
E00756,2026-04-16,2026-04-23,100,Fully Allocated
E00757,2026-04-01,2026-06-16,10,Available
E00758,2026-04-01,2026-06-12,50,Available
E00759,2024-06-16,2024-07-28,50,Available
E00760,2026-04-01,2026-06-29,30,Available
E00761,2023-08-10,2023-09-25,10,Available
E00762,2026-04-01,2026-05-04,10,Available
E00763,2024-05-29,2024-08-21,40,Available
E00764,2026-04-01,2026-06-12,40,Available
E00765,2026-04-01,2026-05-31,40,Available
E00766,2026-04-01,2026-06-24,20,Available
E00767,2026-04-01,2026-06-02,40,Available
E00768,2026-04-01,2026-05-14,60,Available
E00769,2026-04-06,2026-05-11,90,Partially Available
E00770,2026-04-01,2026-05-22,60,Available
E00771,2024-02-14,2024-03-19,60,Available
E00772,2023-10-13,2023-11-19,90,Partially Available
E00773,2026-04-16,2026-05-14,100,Fully Allocated
E00774,2026-04-16,2026-05-13,100,Fully Allocated
E00775,2026-04-06,2026-04-25,90,Partially Available
E00776,2026-04-01,2026-05-10,70,Partially Available
E00777,2026-04-01,2026-05-03,20,Available
E00778,2026-04-01,2026-06-10,20,Available
E00779,2026-04-01,2026-05-13,10,Available
E00780,2026-04-01,2026-04-26,80,Partially Available
E00781,2026-04-01,2026-06-19,10,Available
E00782,2025-03-01,2025-05-11,40,Available
E00783,2023-11-29,2023-12-28,100,Fully Allocated
E00784,2026-04-06,2026-04-26,90,Partially Available
E00785,2026-04-01,2026-05-24,50,Available
E00786,2025-04-24,2025-05-17,90,Partially Available
E00787,2026-04-16,2026-05-05,100,Fully Allocated
E00788,2026-04-01,2026-05-22,20,Available
E00789,2024-07-07,2024-08-08,70,Partially Available
E00790,2026-04-01,2026-05-10,40,Available
E00791,2026-04-01,2026-06-16,20,Available
E00792,2024-12-03,2025-01-13,30,Available
E00793,2026-04-01,2026-06-21,50,Available
E00794,2026-04-01,2026-05-30,20,Available
E00795,2026-04-06,2026-05-05,90,Partially Available
E00796,2026-04-01,2026-06-15,60,Available
E00797,2026-04-01,2026-05-19,50,Available
E00798,2026-04-01,2026-05-19,60,Available
E00799,2026-04-06,2026-05-11,90,Partially Available
E00800,2026-04-01,2026-04-25,90,Partially Available
E00801,2026-04-16,2026-04-23,100,Fully Allocated
E00802,2026-04-01,2026-06-26,10,Available
E00803,2026-04-01,2026-06-21,10,Available
E00804,2026-04-01,2026-04-22,70,Partially Available
E00805,2026-04-01,2026-06-24,40,Available
E00806,2026-04-01,2026-06-24,60,Available
E00807,2026-04-01,2026-05-11,10,Available
E00808,2026-04-01,2026-06-22,40,Available
E00809,2026-04-01,2026-04-19,80,Partially Available
E00810,2026-04-01,2026-04-19,70,Partially Available
E00811,2025-06-28,2025-07-25,100,Fully Allocated
E00812,2026-04-01,2026-05-22,30,Available
E00813,2025-01-27,2025-03-07,60,Available
E00814,2026-04-01,2026-05-23,30,Available
E00815,2026-04-16,2026-04-27,100,Fully Allocated
E00816,2026-04-01,2026-06-17,60,Available
E00817,2026-04-01,2026-06-29,10,Available
E00818,2026-04-01,2026-04-27,80,Partially Available
E00819,2026-04-01,2026-06-26,40,Available
E00820,2026-04-01,2026-05-30,20,Available
E00821,2026-04-01,2026-06-26,30,Available
E00822,2026-04-01,2026-06-02,30,Available
E00823,2023-09-22,2023-10-11,80,Partially Available
E00824,2024-06-29,2024-08-15,30,Available
E00825,2024-05-02,2024-06-04,60,Available
E00826,2026-04-01,2026-05-27,20,Available
E00827,2026-04-01,2026-04-30,80,Partially Available
E00828,2026-04-01,2026-05-23,50,Available
E00829,2026-04-01,2026-05-11,80,Partially Available
E00830,2024-08-23,2024-09-27,30,Available
E00831,2026-04-06,2026-04-27,90,Partially Available
E00832,2026-04-06,2026-05-09,90,Partially Available
E00833,2026-04-01,2026-06-15,60,Available
E00834,2026-04-01,2026-05-15,50,Available
E00835,2026-04-01,2026-06-22,10,Available
E00836,2026-04-16,2026-05-08,100,Fully Allocated
E00837,2026-04-01,2026-05-22,10,Available
E00838,2026-02-21,2026-04-23,60,Available
E00839,2024-04-16,2024-05-30,10,Available
E00840,2026-04-01,2026-05-12,70,Partially Available
E00841,2026-04-01,2026-05-06,60,Available
E00842,2026-04-01,2026-05-06,50,Available
E00843,2026-04-01,2026-05-10,70,Partially Available
E00844,2024-05-11,2024-05-31,80,Partially Available
E00845,2026-04-16,2026-05-04,100,Fully Allocated
E00846,2026-04-06,2026-04-22,90,Partially Available
E00847,2023-04-13,2023-06-06,10,Available
E00848,2026-04-01,2026-05-04,50,Available
E00849,2026-04-01,2026-06-24,30,Available
E00850,2023-07-11,2023-07-31,80,Partially Available
E00851,2026-04-01,2026-06-26,30,Available
E00852,2026-04-16,2026-05-02,100,Fully Allocated
E00853,2026-04-01,2026-06-20,40,Available
E00854,2025-01-08,2025-04-03,60,Available
E00855,2026-04-01,2026-06-06,20,Available
E00856,2024-09-25,2024-10-15,70,Partially Available
E00857,2026-04-01,2026-05-14,40,Available
E00858,2024-01-31,2024-04-16,60,Available
E00859,2026-01-29,2026-03-18,10,Available
E00860,2026-04-01,2026-06-20,20,Available
E00861,2026-04-01,2026-05-07,50,Available
E00862,2026-04-06,2026-05-12,90,Partially Available
E00863,2026-04-16,2026-05-10,100,Fully Allocated
E00864,2026-04-01,2026-06-27,40,Available
E00865,2026-04-16,2026-05-04,100,Fully Allocated
E00866,2026-04-01,2026-04-23,70,Partially Available
E00867,2024-12-09,2025-01-20,70,Partially Available
E00868,2026-04-01,2026-05-06,70,Partially Available
E00869,2025-06-20,2025-07-27,80,Partially Available
E00870,2026-04-01,2026-06-04,30,Available
E00871,2026-04-01,2026-06-16,60,Available
E00872,2026-04-01,2026-05-10,10,Available
E00873,2026-04-01,2026-06-22,10,Available
E00874,2026-04-06,2026-05-18,90,Partially Available
E00875,2026-04-01,2026-05-19,60,Available
E00876,2026-04-01,2026-06-13,10,Available
E00877,2026-04-01,2026-06-04,40,Available
E00878,2026-04-06,2026-05-18,90,Partially Available
E00879,2026-04-01,2026-06-15,10,Available
E00880,2026-04-01,2026-06-18,40,Available
E00881,2026-04-01,2026-05-12,70,Partially Available
E00882,2026-04-01,2026-05-03,60,Available
E00883,2026-04-01,2026-04-22,80,Partially Available
E00884,2024-01-05,2024-03-01,60,Available
E00885,2026-04-01,2026-05-10,70,Partially Available
E00886,2026-04-01,2026-05-17,50,Available
E00887,2026-04-01,2026-04-30,80,Partially Available
E00888,2026-04-01,2026-05-05,70,Partially Available
E00889,2024-06-14,2024-08-24,50,Available
E00890,2026-03-08,2026-03-21,100,Fully Allocated
E00891,2024-06-08,2024-07-14,90,Partially Available
E00892,2025-06-28,2025-08-16,20,Available
E00893,2026-04-01,2026-05-27,10,Available
E00894,2026-04-06,2026-04-23,90,Partially Available
E00895,2026-04-01,2026-05-07,70,Partially Available
E00896,2026-04-01,2026-06-16,40,Available
E00897,2026-04-01,2026-06-21,10,Available
E00898,2026-04-16,2026-04-27,100,Fully Allocated
E00899,2026-04-01,2026-05-02,20,Available
E00900,2026-04-06,2026-04-29,90,Partially Available
E00901,2026-04-16,2026-05-10,100,Fully Allocated
E00902,2026-04-01,2026-06-14,60,Available
E00903,2026-04-06,2026-05-10,90,Partially Available
E00904,2026-04-01,2026-05-09,80,Partially Available
E00905,2026-04-01,2026-05-07,50,Available
E00906,2026-04-01,2026-04-19,70,Partially Available
E00907,2026-04-01,2026-04-23,70,Partially Available
E00908,2026-04-01,2026-05-12,80,Partially Available
E00909,2026-02-20,2026-03-27,50,Available
E00910,2026-02-21,2026-04-15,10,Available
E00911,2026-04-01,2026-06-05,30,Available
E00912,2026-04-01,2026-04-20,70,Partially Available
E00913,2026-04-01,2026-05-20,40,Available
E00914,2026-04-01,2026-06-24,60,Available
E00915,2026-04-06,2026-05-10,90,Partially Available
E00916,2024-04-11,2024-05-16,80,Partially Available
E00917,2026-04-01,2026-06-10,40,Available
E00918,2026-04-01,2026-06-09,60,Available
E00919,2026-04-01,2026-06-03,60,Available
E00920,2025-08-16,2025-10-23,40,Available
E00921,2026-04-01,2026-06-29,30,Available
E00922,2024-12-13,2025-03-02,30,Available
E00923,2026-04-01,2026-04-25,70,Partially Available
E00924,2025-02-14,2025-03-18,60,Available
E00925,2025-03-26,2025-06-12,30,Available
E00926,2026-04-01,2026-06-03,50,Available
E00927,2026-04-01,2026-06-04,20,Available
E00928,2026-04-01,2026-06-06,20,Available
E00929,2024-11-26,2025-02-08,60,Available
E00930,2026-04-01,2026-06-14,20,Available
E00931,2026-04-01,2026-06-07,20,Available
E00932,2026-04-01,2026-04-29,70,Partially Available
E00933,2026-04-01,2026-05-08,70,Partially Available
E00934,2026-04-01,2026-06-06,50,Available
E00935,2026-04-01,2026-05-06,70,Partially Available
E00936,2025-02-06,2025-02-13,100,Fully Allocated
E00937,2024-12-09,2025-01-01,80,Partially Available
E00938,2026-04-01,2026-05-03,10,Available
E00939,2026-04-01,2026-06-28,60,Available
E00940,2026-04-01,2026-06-07,20,Available
E00941,2026-03-24,2026-05-28,40,Available
E00942,2026-04-01,2026-06-03,10,Available
E00943,2026-04-01,2026-05-15,80,Partially Available
E00944,2025-01-31,2025-02-22,100,Fully Allocated
E00945,2026-04-01,2026-05-14,80,Partially Available
E00946,2023-08-06,2023-09-10,10,Available
E00947,2025-06-30,2025-08-12,60,Available
E00948,2026-04-01,2026-04-25,80,Partially Available
E00949,2025-06-26,2025-08-18,50,Available
E00950,2026-04-06,2026-04-24,90,Partially Available
E00951,2026-04-01,2026-05-24,40,Available
E00952,2026-04-01,2026-05-07,40,Available
E00953,2026-04-06,2026-05-07,90,Partially Available
E00954,2026-04-01,2026-06-06,10,Available
E00955,2026-04-01,2026-06-15,20,Available
E00956,2026-04-01,2026-05-01,70,Partially Available
E00957,2026-03-09,2026-03-31,70,Partially Available
E00958,2026-04-01,2026-06-17,20,Available
E00959,2026-04-01,2026-06-07,60,Available
E00960,2026-04-01,2026-05-25,20,Available
E00961,2026-04-01,2026-06-12,30,Available
E00962,2026-04-01,2026-06-24,60,Available
E00963,2026-02-21,2026-04-25,60,Available
E00964,2026-04-01,2026-05-01,40,Available
E00965,2026-04-01,2026-05-28,20,Available
E00966,2026-04-01,2026-04-24,80,Partially Available
E00967,2026-04-01,2026-05-29,60,Available
E00968,2026-01-03,2026-01-22,80,Partially Available
E00969,2026-04-16,2026-04-24,100,Fully Allocated
E00970,2026-04-01,2026-06-28,10,Available
E00971,2026-04-01,2026-04-29,70,Partially Available
E00972,2026-04-01,2026-06-21,20,Available
E00973,2026-04-01,2026-05-11,80,Partially Available
E00974,2026-04-01,2026-05-13,40,Available
E00975,2026-04-16,2026-05-04,100,Fully Allocated
E00976,2026-04-01,2026-05-22,10,Available
E00977,2026-04-01,2026-05-09,50,Available
E00978,2026-04-01,2026-06-25,10,Available
E00979,2026-04-01,2026-05-06,20,Available
E00980,2026-04-01,2026-06-05,30,Available
E00981,2026-04-01,2026-05-15,80,Partially Available
E00982,2026-04-16,2026-05-02,100,Fully Allocated
E00983,2024-06-18,2024-07-07,70,Partially Available
E00984,2025-01-27,2025-04-25,30,Available
E00985,2026-04-01,2026-06-28,60,Available
E00986,2026-04-06,2026-04-24,90,Partially Available
E00987,2026-04-16,2026-05-12,100,Fully Allocated
E00988,2026-04-16,2026-04-26,100,Fully Allocated
E00989,2026-04-01,2026-05-13,60,Available
E00990,2026-04-01,2026-05-16,10,Available
E00991,2026-04-01,2026-06-12,40,Available
E00992,2026-04-01,2026-06-20,50,Available
E00993,2026-04-01,2026-06-19,10,Available
E00994,2026-04-01,2026-05-26,60,Available
E00995,2026-04-01,2026-06-02,50,Available
E00996,2026-04-06,2026-05-11,90,Partially Available
E00997,2026-03-20,2026-04-22,30,Available
E00998,2026-04-01,2026-05-26,20,Available
E00999,2026-04-16,2026-05-01,100,Fully Allocated
E01000,2026-04-01,2026-06-10,60,Available
E01001,2026-04-01,2026-05-11,60,Available
E01002,2026-04-01,2026-05-05,50,Available
E01003,2026-04-01,2026-06-22,10,Available
E01004,2026-04-01,2026-06-07,40,Available
E01005,2026-04-01,2026-06-21,50,Available
E01006,2024-05-26,2024-07-26,60,Available
E01007,2026-04-01,2026-05-29,30,Available
E01008,2026-04-01,2026-06-07,30,Available
E01009,2023-10-11,2023-10-25,100,Fully Allocated
E01010,2026-04-01,2026-05-28,40,Available
E01011,2026-04-06,2026-05-11,90,Partially Available
E01012,2026-04-01,2026-05-24,30,Available
E01013,2026-04-01,2026-06-25,40,Available
E01014,2026-04-01,2026-05-19,60,Available
E01015,2026-04-01,2026-05-07,70,Partially Available
E01016,2026-02-21,2026-03-23,20,Available
E01017,2026-04-16,2026-04-27,100,Fully Allocated
E01018,2026-04-16,2026-05-15,100,Fully Allocated
E01019,2026-04-01,2026-06-22,60,Available
E01020,2025-04-19,2025-06-06,30,Available
E01021,2026-04-01,2026-05-02,30,Available
E01022,2026-04-06,2026-05-18,90,Partially Available
E01023,2026-04-01,2026-06-17,10,Available
E01024,2026-02-26,2026-03-14,90,Partially Available
E01025,2023-05-13,2023-06-05,80,Partially Available
E01026,2026-04-01,2026-05-18,50,Available
E01027,2025-05-17,2025-07-01,50,Available
E01028,2026-04-01,2026-06-08,30,Available
E01029,2026-04-16,2026-05-01,100,Fully Allocated
E01030,2026-04-01,2026-06-13,10,Available
E01031,2026-04-01,2026-06-20,20,Available
E01032,2026-04-01,2026-05-08,80,Partially Available
E01033,2026-04-01,2026-06-02,50,Available
E01034,2026-04-01,2026-06-29,20,Available
E01035,2026-04-01,2026-06-07,30,Available
E01036,2026-04-01,2026-05-12,80,Partially Available
E01037,2026-04-01,2026-04-17,80,Partially Available
E01038,2024-06-09,2024-07-19,90,Partially Available
E01039,2026-04-06,2026-05-07,90,Partially Available
E01040,2026-04-01,2026-06-22,60,Available
E01041,2026-04-01,2026-05-14,60,Available
E01042,2026-04-16,2026-05-05,100,Fully Allocated
E01043,2024-04-11,2024-06-01,20,Available
E01044,2026-04-01,2026-06-12,10,Available
E01045,2025-03-22,2025-04-21,80,Partially Available
E01046,2026-04-16,2026-05-10,100,Fully Allocated
E01047,2026-04-16,2026-05-12,100,Fully Allocated
E01048,2026-04-16,2026-04-25,100,Fully Allocated
E01049,2026-03-14,2026-03-29,80,Partially Available
E01050,2026-04-01,2026-06-15,20,Available
E01051,2026-04-01,2026-05-17,40,Available
E01052,2026-04-01,2026-06-04,50,Available
E01053,2026-04-01,2026-05-12,30,Available
E01054,2026-04-01,2026-05-02,40,Available
E01055,2026-04-01,2026-06-03,60,Available
E01056,2026-04-16,2026-05-04,100,Fully Allocated
E01057,2026-04-01,2026-05-11,80,Partially Available
E01058,2026-04-01,2026-06-01,30,Available
E01059,2023-09-17,2023-10-22,70,Partially Available
E01060,2026-04-01,2026-04-20,70,Partially Available
E01061,2026-04-01,2026-05-28,50,Available
E01062,2026-04-01,2026-05-23,10,Available
E01063,2026-04-01,2026-06-17,10,Available
E01064,2026-04-06,2026-04-25,90,Partially Available
E01065,2026-04-01,2026-06-04,60,Available
E01066,2024-01-08,2024-04-04,20,Available
E01067,2026-04-01,2026-04-21,70,Partially Available
E01068,2026-04-01,2026-05-19,60,Available
E01069,2026-04-01,2026-06-13,60,Available
E01070,2026-04-16,2026-04-30,100,Fully Allocated
E01071,2026-04-16,2026-04-28,100,Fully Allocated
E01072,2026-04-01,2026-05-14,20,Available
E01073,2026-04-01,2026-06-24,30,Available
E01074,2026-04-01,2026-05-03,20,Available
E01075,2026-04-01,2026-05-11,60,Available
E01076,2026-04-01,2026-06-08,10,Available
E01077,2026-04-01,2026-06-10,20,Available
E01078,2026-04-01,2026-05-09,80,Partially Available
E01079,2026-04-01,2026-06-12,50,Available
E01080,2026-04-01,2026-06-14,40,Available
E01081,2024-06-24,2024-08-10,10,Available
E01082,2024-04-02,2024-06-01,10,Available
E01083,2026-04-01,2026-04-25,70,Partially Available
E01084,2026-04-06,2026-05-16,90,Partially Available
E01085,2026-03-01,2026-04-13,90,Partially Available
E01086,2026-04-01,2026-05-02,10,Available
E01087,2026-04-01,2026-05-15,70,Partially Available
E01088,2026-04-01,2026-04-22,70,Partially Available
E01089,2026-04-01,2026-06-16,10,Available
E01090,2026-04-06,2026-04-30,90,Partially Available
E01091,2026-04-01,2026-05-12,20,Available
E01092,2026-04-01,2026-05-05,80,Partially Available
E01093,2026-04-01,2026-05-10,80,Partially Available
E01094,2024-07-04,2024-09-25,60,Available
E01095,2026-04-01,2026-04-24,70,Partially Available
E01096,2026-04-01,2026-05-12,80,Partially Available
E01097,2026-04-06,2026-05-09,90,Partially Available
E01098,2026-04-01,2026-06-23,40,Available
E01099,2026-04-01,2026-05-06,30,Available
E01100,2025-08-03,2025-09-10,80,Partially Available
E01101,2026-04-01,2026-05-08,80,Partially Available
E01102,2026-04-01,2026-05-04,70,Partially Available
E01103,2026-04-01,2026-04-16,70,Partially Available
E01104,2026-04-01,2026-04-17,80,Partially Available
E01105,2026-04-01,2026-05-15,30,Available
E01106,2026-04-01,2026-05-11,40,Available
E01107,2026-04-01,2026-05-26,50,Available
E01108,2026-04-01,2026-05-18,40,Available
E01109,2026-04-06,2026-04-21,90,Partially Available
E01110,2026-04-01,2026-06-01,60,Available
E01111,2026-04-01,2026-05-04,10,Available
E01112,2025-05-15,2025-07-05,40,Available
E01113,2026-04-01,2026-06-05,40,Available
E01114,2026-04-06,2026-05-19,90,Partially Available
E01115,2026-04-01,2026-06-05,40,Available
E01116,2026-04-01,2026-06-28,50,Available
E01117,2026-04-06,2026-05-15,90,Partially Available
E01118,2026-04-01,2026-06-19,40,Available
E01119,2026-04-01,2026-06-02,50,Available
E01120,2026-04-06,2026-04-27,90,Partially Available
E01121,2026-04-16,2026-05-06,100,Fully Allocated
E01122,2026-04-01,2026-05-01,80,Partially Available
E01123,2025-06-18,2025-07-09,100,Fully Allocated
E01124,2026-04-06,2026-04-25,90,Partially Available
E01125,2026-04-16,2026-05-05,100,Fully Allocated
E01126,2026-04-01,2026-05-05,20,Available
E01127,2024-01-12,2024-03-31,50,Available
E01128,2026-04-01,2026-05-22,40,Available
E01129,2026-04-01,2026-05-05,50,Available
E01130,2026-04-01,2026-06-06,40,Available
E01131,2026-04-01,2026-06-07,20,Available
E01132,2026-04-01,2026-04-29,80,Partially Available
E01133,2026-04-16,2026-04-24,100,Fully Allocated
E01134,2026-04-01,2026-05-15,50,Available
E01135,2026-04-06,2026-05-06,90,Partially Available
E01136,2026-04-01,2026-04-20,80,Partially Available
E01137,2026-04-16,2026-05-08,100,Fully Allocated
E01138,2026-04-01,2026-05-01,30,Available
E01139,2026-04-06,2026-05-19,90,Partially Available
E01140,2025-01-15,2025-02-21,20,Available
E01141,2026-04-01,2026-06-02,50,Available
E01142,2026-04-01,2026-05-07,60,Available
E01143,2025-02-27,2025-04-26,10,Available
E01144,2026-04-01,2026-05-31,50,Available
E01145,2026-04-01,2026-06-07,40,Available
E01146,2026-04-01,2026-05-08,40,Available
